workflow_bandwidth_m,workflow_step,analysis_step,sample_definition,margin,bandwidth_m,formula,included_continuous_controls,included_categorical_controls,dropped_controls,n_obs,n_inside,n_outside,tau_hat,tau_se,tau_pvalue,tau_ci_low,tau_ci_high,tau_pct_approx,r_squared,status,focal_school_name,is_estimable,significant_10pct,significant_5pct,significant_1pct
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,217,126,91,0.0450333029802381,0.0501750626305741,0.3694395846012921,-0.0533080126977288,0.143374618658205,4.606269633393922,0.9880301640142356,ok,KONG HWA SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_mrt; num_unique_mrt_lines,num_nearby_malls:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,138,91,47,-0.0421722338791319,0.0554990051363447,0.4473300890553524,-0.150948285124171,0.0666038173659071,-4.129535506802162,0.9929918249326292,ok,MAHA BODHI SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls,num_nearby_mrt:constant; num_unique_mrt_lines:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,60,32,28,-0.0354920318337974,0.0530164741543817,0.5032066227333837,-0.1394024117636842,0.0684183480960893,-3.4869575481008663,0.9911444675569784,ok,CATHOLIC HIGH SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,251,132,119,-0.0237139432583965,0.0356556587536137,0.5059979316460665,-0.0935977502605298,0.0461698637437366,-2.3434977185296524,0.9862392896972612,ok,CHONGFU SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,167,106,61,-0.0177942123275816,0.0340094366768062,0.6008253619269518,-0.0844514833486174,0.0488630586934542,-1.763683021092788,0.982322746273406,ok,NAN HUA PRIMARY SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,441,209,232,0.0124232971224937,0.025858356056212,0.6309170719659858,-0.038258149447095,0.0631047436920826,1.2500786838291589,0.9846600800193038,ok,PRINCESS ELIZABETH PRIMARY SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,213,83,130,-0.0203895443478208,0.0522803745622916,0.6965337426134239,-0.1228571955881763,0.0820781068925347,-2.018308318580342,0.9677796575950072,ok,CHIJ ST. NICHOLAS GIRLS' SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,104,39,65,-0.0176185062826332,0.048756274798044,0.7178312838517769,-0.1131790489071375,0.077942036341871,-1.7464207898713613,0.9961732679568172,ok,MARIS STELLA HIGH SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,352,228,124,0.0018642355934537,0.0172650843751706,0.9140137724785318,-0.0319747079719259,0.0357031791588333,0.1865974360950595,0.9635570566815972,ok,FRONTIER PRIMARY SCHOOL,True,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(year_quarter) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; year_quarter; num_nearby_mrt; num_unique_mrt_lines,quadrant:constant; flat_model:constant; num_nearby_malls:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,37,0,37,,,,,,,,insufficient_sample,AI TONG SCHOOL,False,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,quadrant:constant; flat_model:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,22,22,0,,,,,,,,insufficient_sample,ANGLO-CHINESE SCHOOL (JUNIOR),False,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(storey_range) + C(year_quarter) + C(num_nearby_malls),floor_area_sqm; remaining_lease,storey_range; year_quarter; num_nearby_malls,quadrant:constant; flat_type:constant; flat_model:constant; num_nearby_mrt:constant; num_unique_mrt_lines:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,89,74,15,,,,,,,,insufficient_sample,CHIJ PRIMARY (TOA PAYOH),False,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_mrt),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_mrt,quadrant:constant; num_nearby_malls:constant; num_unique_mrt_lines:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,49,7,42,,,,,,,,insufficient_sample,FAIRFIELD METHODIST SCHOOL (PRIMARY),False,False,False,False
25,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,68,0,68,,,,,,,,insufficient_sample,ST. JOSEPH'S INSTITUTION JUNIOR,False,False,False,False
