workflow_bandwidth_m,workflow_step,analysis_step,sample_definition,margin,bandwidth_m,formula,included_continuous_controls,included_categorical_controls,dropped_controls,n_obs,n_inside,n_outside,tau_hat,tau_se,tau_pvalue,tau_ci_low,tau_ci_high,tau_pct_approx,r_squared,status,focal_school_name,is_estimable,significant_10pct,significant_5pct,significant_1pct,quadrant,mean_inside_year,mean_outside_year,smd_year,mean_inside_floor_area_sqm,mean_outside_floor_area_sqm,smd_floor_area_sqm,mean_inside_remaining_lease,mean_outside_remaining_lease,smd_remaining_lease,mean_inside_num_nearby_malls,mean_outside_num_nearby_malls,smd_num_nearby_malls,mean_inside_num_nearby_mrt,mean_outside_num_nearby_mrt,smd_num_nearby_mrt,mean_inside_num_unique_mrt_lines,mean_outside_num_unique_mrt_lines,smd_num_unique_mrt_lines,tvd_flat_type,tvd_storey_range,tvd_flat_model,tvd_year_quarter,max_abs_smd_numeric,max_tvd_categorical,flat_type,tvd_quadrant
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,quadrant:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,111,30,81,0.1076921331034128,0.1016026265477204,0.2891743812640116,-0.0914453556647923,0.306829621871618,11.370481975487913,0.9587118682737844,ok,AI TONG SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,890,416,474,0.0108687262328581,0.0109734709169707,0.321951903192618,-0.0106388815498021,0.0323763340155185,1.0928005406198429,0.960110390809213,ok,HOLY INNOCENTS' PRIMARY SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1036,474,562,0.0060931853673809,0.0067640377674409,0.3676836493825964,-0.007164085046872,0.0193504557816338,0.6111786582367218,0.9801626155489886,ok,RULANG PRIMARY SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,264,150,114,0.0206464317442698,0.0271309107658948,0.4466612798228917,-0.0325291762246541,0.0738220397131937,2.0861043762241183,0.940005277450981,ok,CHIJ PRIMARY (TOA PAYOH),True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1749,758,991,0.0038313505780702,0.0054529415039811,0.4822920443539448,-0.0068562183795363,0.0145189195356769,0.3838699584238547,0.954105362483142,ok,NAN CHIAU PRIMARY SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1728,953,775,-0.0042365692720762,0.0060543404844269,0.4840788522200741,-0.0161028585716958,0.0076297200275433,-0.4227607672423694,0.9653634018262088,ok,NORTHLAND PRIMARY SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,438,170,268,-0.0089806209620664,0.0133175351489742,0.5000916323785115,-0.0350825102169023,0.0171212682927694,-0.8940415631930043,0.9847449328027116,ok,CATHOLIC HIGH SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,883,354,529,0.0034749103705102,0.006962245086717,0.6177034892028598,-0.0101708392509961,0.0171206599920167,0.3480954870889619,0.9701524588050796,ok,ROSYTH SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,667,187,480,0.0083645847061211,0.0187532447085916,0.6555726880109154,-0.0283910995159847,0.045120268928227,0.8399665588894711,0.9758278997741,ok,PEI CHUN PUBLIC SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,quadrant:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,62,41,21,2.2212257390060586,6.299426437217149,0.7243826270594123,-10.125423201199022,14.56787467921114,821.8623570006334,0.9752826396606624,ok,ANGLO-CHINESE SCHOOL (JUNIOR),True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
